date,hotel_id,hotel_name,city,country,available_rooms,occupied_rooms,adr_usd,revpar_usd,total_room_revenue_usd,guest_satisfaction_score,complaint_resolution_time_hours,checkin_time_minutes,checkout_time_minutes,housekeeping_turnover_time_min,staff_to_guest_ratio,energy_consumption_per_room_kwh,year,month,month_name,day,day_of_week,is_weekend,occupancy_rate,revenue_per_occupied_room,revenue_efficiency_index
2025-01-04,MIL002,Marina Bay,Singapore,Singapore,720,484,356.48,239.63,172536.32,9.1,2.9,10.4,6.0,31,0.28,38.4,2025,1,January,4,Saturday,1,0.6722222222222223,356.48,0.6722116247755834
2025-01-04,MIL003,Downtown Chicago,Chicago,USA,420,294,254.84,178.39,74922.96,9.0,2.1,6.8,5.0,30,0.26,42.4,2025,1,January,4,Saturday,1,0.7,254.84000000000003,0.7000078480615287
2025-01-04,MIL004,Hyde Park,London,UK,510,441,203.26,175.76,89637.66,9.3,3.4,9.3,6.2,34,0.25,38.2,2025,1,January,4,Saturday,1,0.8647058823529412,203.26000000000002,0.8647053035521007
2025-01-04,MIL005,Shinjuku,Tokyo,Japan,680,616,228.15,206.68,140540.4,9.0,2.3,6.4,6.0,32,0.23,39.9,2025,1,January,4,Saturday,1,0.9058823529411765,228.14999999999998,0.9058952443567828
2025-01-04,MIL006,Darling Harbour,Sydney,Australia,560,480,333.46,285.82,160060.8,7.8,2.7,6.2,5.6,34,0.26,43.7,2025,1,January,4,Saturday,1,0.8571428571428571,333.46,0.8571342889701914
2025-01-04,MIL007,La Défense,Paris,France,480,327,280.79,191.29,91818.33,8.8,1.3,8.6,7.3,33,0.25,41.8,2025,1,January,4,Saturday,1,0.68125,280.79,0.6812564550019586
2025-01-04,MIL008,Mitte,Berlin,Germany,390,280,355.99,255.58,99677.2,7.5,3.4,7.7,7.4,37,0.24,36.6,2025,1,January,4,Saturday,1,0.717948717948718,355.99,0.7179415152111015
2025-01-04,MIL009,Orchard Road,Singapore,Singapore,610,492,231.98,187.11,114134.16,8.6,3.1,6.1,6.9,30,0.23,42.3,2025,1,January,4,Saturday,1,0.8065573770491803,231.98000000000002,0.8065781532890768
2025-01-04,MIL010,Union Square,San Francisco,USA,450,328,300.48,219.02,98557.44,8.9,2.9,9.6,5.3,29,0.28,43.3,2025,1,January,4,Saturday,1,0.7288888888888889,300.48,0.7289004259850905
2025-01-05,MIL001,Times Square,New York,USA,650,505,265.28,206.1,133966.4,9.5,2.0,10.2,7.1,32,0.28,42.8,2025,1,January,5,Sunday,1,0.7769230769230769,265.28,0.7769149577804585
2025-01-05,MIL002,Marina Bay,Singapore,Singapore,720,519,318.75,229.77,165431.25,8.7,1.9,10.0,5.7,28,0.29,36.8,2025,1,January,5,Sunday,1,0.7208333333333333,318.75,0.7208470588235294
2025-01-05,MIL003,Downtown Chicago,Chicago,USA,420,341,254.14,206.34,86661.74,8.8,2.7,8.0,5.4,31,0.27,42.8,2025,1,January,5,Sunday,1,0.8119047619047619,254.14000000000001,0.8119146926890691
2025-01-05,MIL004,Hyde Park,London,UK,510,428,288.09,241.77,123302.52,9.1,1.4,8.2,4.7,33,0.26,44.0,2025,1,January,5,Sunday,1,0.8392156862745098,288.09000000000003,0.8392169113818599
2025-01-05,MIL005,Shinjuku,Tokyo,Japan,680,474,245.54,171.16,116385.96,8.9,2.6,6.5,4.8,35,0.23,43.4,2025,1,January,5,Sunday,1,0.6970588235294117,245.54000000000002,0.6970758328581901
2025-01-05,MIL006,Darling Harbour,Sydney,Australia,560,405,238.8,172.7,96714.0,8.8,1.4,10.4,5.6,31,0.29,44.5,2025,1,January,5,Sunday,1,0.7232142857142857,238.8,0.7231993299832495
2025-01-05,MIL007,La Défense,Paris,France,480,339,250.39,176.84,84882.21,8.9,2.2,10.1,4.8,32,0.22,40.2,2025,1,January,5,Sunday,1,0.70625,250.39000000000001,0.706258237150046
2025-01-05,MIL008,Mitte,Berlin,Germany,390,361,274.52,254.11,99101.72,8.2,2.9,8.6,7.4,31,0.24,43.8,2025,1,January,5,Sunday,1,0.9256410256410257,274.52,0.9256520472096752
2025-01-05,MIL009,Orchard Road,Singapore,Singapore,610,489,260.57,208.88,127418.73,8.8,3.4,8.4,6.4,34,0.26,41.6,2025,1,January,5,Sunday,1,0.8016393442622951,260.57,0.8016272019035192
2025-01-05,MIL010,Union Square,San Francisco,USA,450,316,299.25,210.14,94563.0,8.8,1.3,7.3,7.4,36,0.26,41.6,2025,1,January,5,Sunday,1,0.7022222222222222,299.25,0.7022222222222222
2025-01-06,MIL001,Times Square,New York,USA,650,452,233.03,162.05,105329.56,7.4,2.5,6.3,7.4,37,0.28,40.8,2025,1,January,6,Monday,0,0.6953846153846154,233.03,0.6954040252328026
2025-01-06,MIL002,Marina Bay,Singapore,Singapore,720,523,302.77,219.93,158348.71,8.4,2.8,6.7,7.2,36,0.3,42.5,2025,1,January,6,Monday,0,0.7263888888888889,302.77,0.7263929715625723
2025-01-06,MIL003,Downtown Chicago,Chicago,USA,420,272,342.42,221.76,93138.24,9.4,3.5,6.7,6.3,31,0.3,43.6,2025,1,January,6,Monday,0,0.6476190476190476,342.42,0.6476257227965656
2025-01-06,MIL004,Hyde Park,London,UK,510,373,254.85,186.39,95059.05,9.4,2.2,7.2,4.7,36,0.29,45.0,2025,1,January,6,Monday,0,0.7313725490196078,254.85,0.7313713949381989
2025-01-06,MIL005,Shinjuku,Tokyo,Japan,680,530,262.11,204.29,138918.3,8.4,2.2,6.6,7.4,34,0.24,42.0,2025,1,January,6,Monday,0,0.7794117647058824,262.10999999999996,0.7794055930716111
2025-01-06,MIL006,Darling Harbour,Sydney,Australia,560,471,190.96,160.61,89942.16,9.5,1.5,9.0,6.1,35,0.26,43.7,2025,1,January,6,Monday,0,0.8410714285714286,190.96,0.8410661918726435
2025-01-06,MIL007,La Défense,Paris,France,480,456,338.99,322.04,154579.44,8.6,1.5,6.1,6.8,34,0.28,37.9,2025,1,January,6,Monday,0,0.95,338.99,0.949998525030237
2025-01-06,MIL008,Mitte,Berlin,Germany,390,342,307.63,269.77,105209.46,7.6,2.1,8.0,7.2,31,0.26,43.1,2025,1,January,6,Monday,0,0.8769230769230769,307.63,0.876930078340864
2025-01-06,MIL009,Orchard Road,Singapore,Singapore,610,575,197.9,186.55,113792.5,7.7,2.3,10.4,6.0,31,0.27,38.2,2025,1,January,6,Monday,0,0.9426229508196722,197.9,0.9426478019201617
2025-01-06,MIL010,Union Square,San Francisco,USA,450,348,276.5,213.83,96222.0,8.1,1.6,7.6,7.2,32,0.27,37.6,2025,1,January,6,Monday,0,0.7733333333333333,276.5,0.7733453887884268
2025-01-07,MIL001,Times Square,New York,USA,650,472,224.32,162.89,105879.04,8.6,1.7,7.6,6.0,34,0.22,43.2,2025,1,January,7,Tuesday,0,0.7261538461538461,224.32,0.7261501426533523
2025-01-07,MIL002,Marina Bay,Singapore,Singapore,720,487,228.51,154.56,111284.37,8.8,3.2,10.1,4.7,30,0.28,42.7,2025,1,January,7,Tuesday,0,0.6763888888888889,228.51,0.6763817776027308
2025-01-07,MIL003,Downtown Chicago,Chicago,USA,420,305,234.09,169.99,71397.45,8.5,2.6,7.7,5.9,35,0.22,38.3,2025,1,January,7,Tuesday,0,0.7261904761904762,234.09,0.7261736938784229
2025-01-07,MIL004,Hyde Park,London,UK,510,280,285.95,156.99,80066.0,8.9,2.4,8.4,4.8,32,0.26,38.2,2025,1,January,7,Tuesday,0,0.5490196078431373,285.95,0.5490120650463368
2025-01-07,MIL005,Shinjuku,Tokyo,Japan,680,478,196.0,137.78,93688.0,8.3,1.5,10.0,6.3,34,0.28,40.5,2025,1,January,7,Tuesday,0,0.7029411764705882,196.0,0.7029591836734694
2025-01-07,MIL006,Darling Harbour,Sydney,Australia,560,376,263.48,176.91,99068.48,8.2,2.5,9.4,5.8,29,0.24,39.3,2025,1,January,7,Tuesday,0,0.6714285714285714,263.47999999999996,0.6714361621375435
2025-01-07,MIL007,La Défense,Paris,France,480,418,345.92,301.24,144594.56,7.9,1.4,6.7,5.2,29,0.23,38.6,2025,1,January,7,Tuesday,0,0.8708333333333333,345.92,0.8708371877890841
2025-01-07,MIL008,Mitte,Berlin,Germany,390,326,262.18,219.16,85470.68,8.2,2.1,10.4,4.8,31,0.3,43.8,2025,1,January,7,Tuesday,0,0.8358974358974359,262.18,0.8359142573804256
2025-01-07,MIL009,Orchard Road,Singapore,Singapore,610,440,293.99,212.06,129355.6,9.0,3.3,8.5,6.2,30,0.28,37.7,2025,1,January,7,Tuesday,0,0.7213114754098361,293.99,0.7213170516003946
2025-01-07,MIL010,Union Square,San Francisco,USA,450,307,225.65,153.94,69274.55,7.6,2.4,7.1,4.8,34,0.24,41.2,2025,1,January,7,Tuesday,0,0.6822222222222222,225.65,0.6822069576778196
2025-01-08,MIL001,Times Square,New York,USA,650,502,205.5,158.71,103161.0,8.3,2.0,6.6,4.7,37,0.25,43.3,2025,1,January,8,Wednesday,0,0.7723076923076924,205.5,0.7723114355231144
2025-01-08,MIL002,Marina Bay,Singapore,Singapore,720,565,297.61,233.54,168149.65,8.0,2.9,8.7,5.9,32,0.25,44.4,2025,1,January,8,Wednesday,0,0.7847222222222222,297.61,0.7847182554349652
2025-01-08,MIL003,Downtown Chicago,Chicago,USA,420,343,232.82,190.14,79857.26,8.8,2.5,9.8,4.9,35,0.24,37.5,2025,1,January,8,Wednesday,0,0.8166666666666667,232.82,0.8166824156000343
2025-01-08,MIL004,Hyde Park,London,UK,510,389,277.75,211.85,108044.75,8.4,2.7,8.4,5.6,36,0.25,43.3,2025,1,January,8,Wednesday,0,0.7627450980392156,277.75,0.7627362736273627
2025-01-08,MIL005,Shinjuku,Tokyo,Japan,680,391,214.64,123.42,83924.24,7.6,2.9,8.3,5.2,36,0.25,40.9,2025,1,January,8,Wednesday,0,0.575,214.64000000000001,0.5750093179276929
2025-01-08,MIL006,Darling Harbour,Sydney,Australia,560,417,270.6,201.5,112840.2,9.2,1.5,10.2,6.4,31,0.23,43.1,2025,1,January,8,Wednesday,0,0.7446428571428572,270.59999999999997,0.7446415373244641
2025-01-08,MIL007,La Défense,Paris,France,480,404,362.18,304.83,146320.72,8.8,1.5,7.4,5.2,35,0.22,41.1,2025,1,January,8,Wednesday,0,0.8416666666666667,362.18,0.841653321552819
2025-01-08,MIL008,Mitte,Berlin,Germany,390,313,281.55,225.96,88125.15,8.9,2.0,9.7,4.8,36,0.23,39.6,2025,1,January,8,Wednesday,0,0.8025641025641026,281.54999999999995,0.8025572722429408
2025-01-08,MIL009,Orchard Road,Singapore,Singapore,610,448,276.98,203.42,124087.04,9.2,2.9,8.9,6.6,33,0.24,39.1,2025,1,January,8,Wednesday,0,0.7344262295081967,276.97999999999996,0.7344212578525524
2025-01-08,MIL010,Union Square,San Francisco,USA,450,309,179.96,123.57,55607.64,9.6,2.3,10.3,5.0,33,0.26,41.5,2025,1,January,8,Wednesday,0,0.6866666666666666,179.96,0.6866525894643254
2025-01-09,MIL001,Times Square,New York,USA,650,514,292.66,231.43,150427.24,9.0,2.8,6.7,6.2,34,0.25,42.6,2025,1,January,9,Thursday,0,0.7907692307692308,292.65999999999997,0.790781111187043
2025-01-09,MIL002,Marina Bay,Singapore,Singapore,720,577,215.47,172.68,124326.19,8.6,3.5,9.8,4.9,37,0.29,40.7,2025,1,January,9,Thursday,0,0.8013888888888889,215.47,0.8014108692625423
2025-01-09,MIL003,Downtown Chicago,Chicago,USA,420,256,328.83,200.43,84180.48,8.6,3.0,6.0,5.5,31,0.26,44.3,2025,1,January,9,Thursday,0,0.6095238095238096,328.83,0.609524678405255
2025-01-09,MIL004,Hyde Park,London,UK,510,376,201.95,148.89,75933.2,7.9,2.9,8.0,5.2,32,0.23,37.6,2025,1,January,9,Thursday,0,0.7372549019607844,201.95,0.737261698440208
2025-01-09,MIL005,Shinjuku,Tokyo,Japan,680,347,257.56,131.43,89373.32,8.6,2.5,8.8,4.5,34,0.23,44.6,2025,1,January,9,Thursday,0,0.5102941176470588,257.56,0.5102888647305482
2025-01-09,MIL006,Darling Harbour,Sydney,Australia,560,475,247.9,210.27,117752.5,8.0,1.4,10.5,6.0,33,0.23,42.7,2025,1,January,9,Thursday,0,0.8482142857142857,247.9,0.8482049213392497
2025-01-09,MIL007,La Défense,Paris,France,480,383,253.5,202.27,97090.5,8.4,1.3,8.1,6.2,28,0.28,40.1,2025,1,January,9,Thursday,0,0.7979166666666667,253.5,0.7979092702169626
2025-01-09,MIL008,Mitte,Berlin,Germany,390,282,140.71,101.74,39680.22,9.4,2.1,8.5,5.0,29,0.29,44.5,2025,1,January,9,Thursday,0,0.7230769230769231,140.71,0.723047402458958
2025-01-09,MIL009,Orchard Road,Singapore,Singapore,610,389,225.0,143.48,87525.0,8.0,1.3,6.7,6.6,34,0.22,38.0,2025,1,January,9,Thursday,0,0.6377049180327868,225.0,0.6376888888888889
2025-01-09,MIL010,Union Square,San Francisco,USA,450,427,292.48,277.53,124888.96,8.0,1.2,6.5,6.9,29,0.27,38.1,2025,1,January,9,Thursday,0,0.9488888888888889,292.48,0.9488853938730852
2025-01-10,MIL001,Times Square,New York,USA,650,491,243.13,183.66,119376.83,9.1,3.1,7.8,6.5,30,0.24,44.1,2025,1,January,10,Friday,0,0.7553846153846154,243.13,0.7553983465635669
2025-01-10,MIL002,Marina Bay,Singapore,Singapore,720,593,274.68,226.23,162885.24,7.9,2.2,10.0,7.0,31,0.24,39.4,2025,1,January,10,Friday,0,0.8236111111111111,274.68,0.8236129314110965
2025-01-10,MIL003,Downtown Chicago,Chicago,USA,420,262,287.27,179.2,75264.74,7.9,2.5,8.0,5.4,37,0.28,37.3,2025,1,January,10,Friday,0,0.6238095238095238,287.27000000000004,0.6238033905385177
2025-01-10,MIL004,Hyde Park,London,UK,510,484,258.31,245.14,125022.04,9.4,3.3,9.6,5.8,28,0.24,40.9,2025,1,January,10,Friday,0,0.9490196078431372,258.31,0.9490147497193294
2025-01-10,MIL005,Shinjuku,Tokyo,Japan,680,438,293.45,189.02,128531.1,8.8,3.5,8.4,5.0,30,0.22,44.2,2025,1,January,10,Friday,0,0.6441176470588236,293.45,0.6441301754983814
2025-01-10,MIL006,Darling Harbour,Sydney,Australia,560,426,268.81,204.49,114513.06,8.1,1.8,8.5,6.5,36,0.24,36.1,2025,1,January,10,Friday,0,0.7607142857142857,268.81,0.7607231873814219
2025-01-10,MIL007,La Défense,Paris,France,480,386,304.22,244.64,117428.92,9.7,1.6,10.1,5.8,31,0.26,36.4,2025,1,January,10,Friday,0,0.8041666666666667,304.21999999999997,0.804154887910065
2025-01-10,MIL008,Mitte,Berlin,Germany,390,343,283.29,249.15,97168.47,8.3,1.4,8.7,5.2,31,0.24,39.2,2025,1,January,10,Friday,0,0.8794871794871795,283.29,0.8794874510219209
2025-01-10,MIL009,Orchard Road,Singapore,Singapore,610,416,307.41,209.64,127882.56,8.1,2.7,10.2,6.7,30,0.22,38.4,2025,1,January,10,Friday,0,0.6819672131147541,307.40999999999997,0.6819556943495656
2025-01-10,MIL010,Union Square,San Francisco,USA,450,427,234.1,222.13,99960.7,8.8,2.3,8.7,5.5,35,0.23,36.7,2025,1,January,10,Friday,0,0.9488888888888889,234.1,0.9488680051260145
2025-01-11,MIL001,Times Square,New York,USA,650,504,339.69,263.39,171203.76,8.3,1.8,9.7,6.9,34,0.24,41.3,2025,1,January,11,Saturday,1,0.7753846153846153,339.69,0.7753834378403839
2025-01-11,MIL002,Marina Bay,Singapore,Singapore,720,684,227.28,215.92,155459.52,8.6,3.3,6.6,7.4,32,0.23,40.9,2025,1,January,11,Saturday,1,0.95,227.27999999999997,0.950017599436818
2025-01-11,MIL003,Downtown Chicago,Chicago,USA,420,343,287.48,234.78,98605.64,9.0,2.8,9.8,5.2,32,0.24,44.9,2025,1,January,11,Saturday,1,0.8166666666666667,287.48,0.8166828996799776
2025-01-11,MIL004,Hyde Park,London,UK,510,452,279.33,247.56,126257.16,8.8,1.6,8.6,7.2,28,0.28,38.7,2025,1,January,11,Saturday,1,0.8862745098039215,279.33,0.8862635592310172
2025-01-11,MIL005,Shinjuku,Tokyo,Japan,680,527,290.67,225.27,153183.09,8.7,1.9,9.7,4.6,33,0.24,37.1,2025,1,January,11,Saturday,1,0.775,290.67,0.7750025802456394
2025-01-11,MIL006,Darling Harbour,Sydney,Australia,560,438,270.0,211.18,118260.0,8.4,2.0,9.3,4.7,31,0.26,43.1,2025,1,January,11,Saturday,1,0.7821428571428571,270.0,0.7821481481481481
2025-01-11,MIL007,La Défense,Paris,France,480,423,193.15,170.21,81702.45,8.9,1.7,6.1,7.1,28,0.29,40.8,2025,1,January,11,Saturday,1,0.88125,193.15,0.8812322029510743
2025-01-11,MIL008,Mitte,Berlin,Germany,390,338,236.72,205.16,80011.36,9.5,2.3,8.8,7.1,37,0.28,39.8,2025,1,January,11,Saturday,1,0.8666666666666667,236.72,0.8666779317336938
2025-01-11,MIL009,Orchard Road,Singapore,Singapore,610,572,236.47,221.74,135260.84,8.4,2.0,7.3,5.4,30,0.22,36.2,2025,1,January,11,Saturday,1,0.9377049180327869,236.47,0.9377088002706475
2025-01-11,MIL010,Union Square,San Francisco,USA,450,338,258.44,194.12,87352.72,8.8,2.1,9.1,5.2,37,0.28,36.8,2025,1,January,11,Saturday,1,0.7511111111111111,258.44,0.7511221173193005
2025-01-12,MIL001,Times Square,New York,USA,650,570,250.37,219.56,142710.9,8.7,2.6,6.8,7.5,30,0.3,41.8,2025,1,January,12,Sunday,1,0.8769230769230769,250.36999999999998,0.8769421256540321
2025-01-12,MIL003,Downtown Chicago,Chicago,USA,420,387,234.32,215.91,90681.84,8.2,3.1,7.0,5.2,33,0.27,41.2,2025,1,January,12,Sunday,1,0.9214285714285714,234.32,0.9214322294298396
2025-01-12,MIL004,Hyde Park,London,UK,510,421,232.42,191.86,97848.82,8.5,3.2,10.3,7.1,36,0.27,41.0,2025,1,January,12,Sunday,1,0.8254901960784313,232.42000000000002,0.8254883400740041
2025-01-12,MIL005,Shinjuku,Tokyo,Japan,680,518,224.08,170.7,116073.44,7.9,2.9,8.2,4.7,30,0.27,36.7,2025,1,January,12,Sunday,1,0.7617647058823529,224.08,0.7617815066047839
2025-01-12,MIL006,Darling Harbour,Sydney,Australia,560,395,259.26,182.87,102407.7,9.4,2.3,8.7,7.0,31,0.27,41.1,2025,1,January,12,Sunday,1,0.7053571428571429,259.26,0.7053536989894315
2025-01-12,MIL007,La Défense,Paris,France,480,402,243.83,204.21,98019.66,9.1,3.2,9.9,6.6,36,0.28,42.1,2025,1,January,12,Sunday,1,0.8375,243.83,0.8375097403928967
2025-01-12,MIL008,Mitte,Berlin,Germany,390,347,322.2,286.68,111803.4,9.1,1.6,10.0,7.1,28,0.29,37.2,2025,1,January,12,Sunday,1,0.8897435897435897,322.2,0.8897579143389199
2025-01-12,MIL009,Orchard Road,Singapore,Singapore,610,549,223.24,200.92,122558.76,8.9,3.1,8.3,4.5,30,0.27,44.8,2025,1,January,12,Sunday,1,0.9,223.23999999999998,0.9000179179358537
2025-01-12,MIL010,Union Square,San Francisco,USA,450,333,198.81,147.12,66203.73,9.1,2.7,8.4,6.8,29,0.28,40.9,2025,1,January,12,Sunday,1,0.74,198.80999999999997,0.7400030179568432
2025-01-13,MIL001,Times Square,New York,USA,650,500,272.56,209.66,136280.0,9.1,1.4,10.2,6.6,28,0.24,42.4,2025,1,January,13,Monday,0,0.7692307692307693,272.56,0.7692251247431758
2025-01-13,MIL002,Marina Bay,Singapore,Singapore,720,575,265.98,212.41,152938.5,8.3,2.0,8.8,4.6,36,0.3,44.7,2025,1,January,13,Monday,0,0.7986111111111112,265.98,0.7985938792390405
2025-01-13,MIL003,Downtown Chicago,Chicago,USA,420,304,276.97,200.47,84198.88,9.6,2.8,8.0,5.3,37,0.25,40.1,2025,1,January,13,Monday,0,0.7238095238095238,276.97,0.7237968010975917
2025-01-13,MIL004,Hyde Park,London,UK,510,394,279.8,216.16,110241.2,8.4,2.8,7.0,4.7,34,0.27,38.5,2025,1,January,13,Monday,0,0.7725490196078432,279.8,0.7725518227305218
2025-01-13,MIL005,Shinjuku,Tokyo,Japan,680,574,255.54,215.71,146679.96,9.8,2.1,7.2,7.5,32,0.29,38.1,2025,1,January,13,Monday,0,0.8441176470588235,255.54,0.8441339907646553
2025-01-13,MIL006,Darling Harbour,Sydney,Australia,560,376,203.68,136.76,76583.68,9.6,3.2,8.1,7.4,29,0.29,43.0,2025,1,January,13,Monday,0,0.6714285714285714,203.67999999999998,0.6714454045561664
