Date,Hotel_ID,Hotel_Name,City,Country,Available_Rooms,Occupied_Rooms,ADR (USD),RevPAR (USD),Total_Room_Revenue (USD),Guest_Satisfaction_Score,Complaint_Resolution_Time_Hours,Checkin_Time_Minutes,Checkout_Time_Minutes,Housekeeping_Turnover_Time_Min,Staff_to_Guest_Ratio,Energy_Consumption_per_Room_kWh
2025-01-03,MIL001,Milton Times Square,New York,USA,650,540,273.36,227.1,147614.4,8.9,2.7,6.4,5.0,36,0.27,36.1
2025-01-03,MIL002,Milton Marina Bay,Singapore,Singapore,720,586,273.19,222.35,160089.34,8.3,1.2,6.7,6.1,34,0.27,38.0
2025-01-03,MIL003,Milton Downtown Chicago,Chicago,USA,420,286,295.42,201.17,84490.12,9.4,2.7,9.8,6.5,33,0.23,39.3
2025-01-03,MIL004,Milton Hyde Park,London,UK,510,355,219.97,153.12,78089.35,8.2,3.4,7.8,7.2,34,0.28,40.5
2025-01-03,MIL005,Milton Shinjuku,Tokyo,Japan,680,512,382.41,287.93,195793.92,9.1,1.8,6.1,6.4,29,0.3,44.6
2025-01-03,MIL006,Milton Darling Harbour,Sydney,Australia,560,388,249.94,173.17,96976.72,9.1,1.2,10.2,5.8,37,0.3,43.7
2025-01-03,MIL007,Milton La Défense,Paris,France,480,333,191.83,133.08,63879.39,8.4,1.6,8.5,7.3,34,0.27,36.9
2025-01-03,MIL008,Milton Mitte,Berlin,Germany,390,337,262.62,226.93,88502.94,8.0,3.2,9.3,6.6,35,0.25,38.6
2025-01-03,MIL009,Milton Orchard Road,Singapore,Singapore,610,507,283.12,235.31,143541.84,9.0,3.0,8.9,6.6,35,0.29,39.0
2025-01-03,MIL010,Milton Union Square,San Francisco,USA,450,427,225.22,213.71,96168.94,8.6,2.5,6.2,5.9,33,0.24,41.3
2025-01-04,MIL001,Milton Times Square,New York,USA,650,476,309.0,226.28,147084.0,8.7,3.0,7.0,6.4,28,0.22,40.8
2025-01-04,MIL002,Milton Marina Bay,Singapore,Singapore,720,484,356.48,239.63,172536.32,9.1,2.9,10.4,6.0,31,0.28,38.4
2025-01-04,MIL003,Milton Downtown Chicago,Chicago,USA,420,294,254.84,178.39,74922.96,9.0,2.1,6.8,5.0,30,0.26,42.4
2025-01-04,MIL004,Milton Hyde Park,London,UK,510,441,203.26,175.76,89637.66,9.3,3.4,9.3,6.2,34,0.25,38.2
2025-01-04,MIL005,Milton Shinjuku,Tokyo,Japan,680,616,228.15,206.68,140540.4,9.0,2.3,6.4,6.0,32,0.23,39.9
2025-01-04,MIL006,Milton Darling Harbour,Sydney,Australia,560,480,333.46,285.82,160060.8,7.8,2.7,6.2,5.6,34,0.26,43.7
2025-01-04,MIL007,Milton La Défense,Paris,France,480,327,280.79,191.29,91818.33,8.8,1.3,8.6,7.3,33,0.25,41.8
2025-01-04,MIL008,Milton Mitte,Berlin,Germany,390,280,355.99,255.58,99677.2,7.5,3.4,7.7,7.4,37,0.24,36.6
2025-01-04,MIL009,Milton Orchard Road,Singapore,Singapore,610,492,231.98,187.11,114134.16,8.6,3.1,6.1,6.9,30,0.23,42.3
2025-01-04,MIL010,Milton Union Square,San Francisco,USA,450,328,300.48,219.02,98557.44,8.9,2.9,9.6,5.3,29,0.28,43.3
2025-01-05,MIL001,Milton Times Square,New York,USA,650,505,265.28,206.1,133966.4,9.5,2.0,10.2,7.1,32,0.28,42.8
2025-01-05,MIL002,Milton Marina Bay,Singapore,Singapore,720,519,318.75,229.77,165431.25,8.7,1.9,10.0,5.7,28,0.29,36.8
2025-01-05,MIL003,Milton Downtown Chicago,Chicago,USA,420,341,254.14,206.34,86661.74,8.8,2.7,8.0,5.4,31,0.27,42.8
2025-01-05,MIL004,Milton Hyde Park,London,UK,510,428,288.09,241.77,123302.52,9.1,1.4,8.2,4.7,33,0.26,44.0
2025-01-05,MIL005,Milton Shinjuku,Tokyo,Japan,680,474,245.54,171.16,116385.96,8.9,2.6,6.5,4.8,35,0.23,43.4
2025-01-05,MIL006,Milton Darling Harbour,Sydney,Australia,560,405,238.8,172.7,96714.0,8.8,1.4,10.4,5.6,31,0.29,44.5
2025-01-05,MIL007,Milton La Défense,Paris,France,480,339,250.39,176.84,84882.21,8.9,2.2,10.1,4.8,32,0.22,40.2
2025-01-05,MIL008,Milton Mitte,Berlin,Germany,390,361,274.52,254.11,99101.72,8.2,2.9,8.6,7.4,31,0.24,43.8
2025-01-05,MIL009,Milton Orchard Road,Singapore,Singapore,610,489,260.57,208.88,127418.73,8.8,3.4,8.4,6.4,34,0.26,41.6
2025-01-05,MIL010,Milton Union Square,San Francisco,USA,450,316,299.25,210.14,94563.0,8.8,1.3,7.3,7.4,36,0.26,41.6
2025-01-06,MIL001,Milton Times Square,New York,USA,650,452,233.03,162.05,105329.56,7.4,2.5,6.3,7.4,37,0.28,40.8
2025-01-06,MIL002,Milton Marina Bay,Singapore,Singapore,720,523,302.77,219.93,158348.71,8.4,2.8,6.7,7.2,36,0.3,42.5
2025-01-06,MIL003,Milton Downtown Chicago,Chicago,USA,420,272,342.42,221.76,93138.24,9.4,3.5,6.7,6.3,31,0.3,43.6
2025-01-06,MIL004,Milton Hyde Park,London,UK,510,373,254.85,186.39,95059.05,9.4,2.2,7.2,4.7,36,0.29,45.0
2025-01-06,MIL005,Milton Shinjuku,Tokyo,Japan,680,530,262.11,204.29,138918.3,8.4,2.2,6.6,7.4,34,0.24,42.0
2025-01-06,MIL006,Milton Darling Harbour,Sydney,Australia,560,471,190.96,160.61,89942.16,9.5,1.5,9.0,6.1,35,0.26,43.7
2025-01-06,MIL007,Milton La Défense,Paris,France,480,456,338.99,322.04,154579.44,8.6,1.5,6.1,6.8,34,0.28,37.9
2025-01-06,MIL008,Milton Mitte,Berlin,Germany,390,342,307.63,269.77,105209.46,7.6,2.1,8.0,7.2,31,0.26,43.1
2025-01-06,MIL009,Milton Orchard Road,Singapore,Singapore,610,575,197.9,186.55,113792.5,7.7,2.3,10.4,6.0,31,0.27,38.2
2025-01-06,MIL010,Milton Union Square,San Francisco,USA,450,348,276.5,213.83,96222.0,8.1,1.6,7.6,7.2,32,0.27,37.6
2025-01-07,MIL001,Milton Times Square,New York,USA,650,472,224.32,162.89,105879.04,8.6,1.7,7.6,6.0,34,0.22,43.2
2025-01-07,MIL002,Milton Marina Bay,Singapore,Singapore,720,487,228.51,154.56,111284.37,8.8,3.2,10.1,4.7,30,0.28,42.7
2025-01-07,MIL003,Milton Downtown Chicago,Chicago,USA,420,305,234.09,169.99,71397.45,8.5,2.6,7.7,5.9,35,0.22,38.3
2025-01-07,MIL004,Milton Hyde Park,London,UK,510,280,285.95,156.99,80066.0,8.9,2.4,8.4,4.8,32,0.26,38.2
2025-01-07,MIL005,Milton Shinjuku,Tokyo,Japan,680,478,196.0,137.78,93688.0,8.3,1.5,10.0,6.3,34,0.28,40.5
2025-01-07,MIL006,Milton Darling Harbour,Sydney,Australia,560,376,263.48,176.91,99068.48,8.2,2.5,9.4,5.8,29,0.24,39.3
2025-01-07,MIL007,Milton La Défense,Paris,France,480,418,345.92,301.24,144594.56,7.9,1.4,6.7,5.2,29,0.23,38.6
2025-01-07,MIL008,Milton Mitte,Berlin,Germany,390,326,262.18,219.16,85470.68,8.2,2.1,10.4,4.8,31,0.3,43.8
2025-01-07,MIL009,Milton Orchard Road,Singapore,Singapore,610,440,293.99,212.06,129355.6,9.0,3.3,8.5,6.2,30,0.28,37.7
2025-01-07,MIL010,Milton Union Square,San Francisco,USA,450,307,225.65,153.94,69274.55,7.6,2.4,7.1,4.8,34,0.24,41.2
2025-01-08,MIL001,Milton Times Square,New York,USA,650,502,205.5,158.71,103161.0,8.3,2.0,6.6,4.7,37,0.25,43.3
2025-01-08,MIL002,Milton Marina Bay,Singapore,Singapore,720,565,297.61,233.54,168149.65,8.0,2.9,8.7,5.9,32,0.25,44.4
2025-01-08,MIL003,Milton Downtown Chicago,Chicago,USA,420,343,232.82,190.14,79857.26,8.8,2.5,9.8,4.9,35,0.24,37.5
2025-01-08,MIL004,Milton Hyde Park,London,UK,510,389,277.75,211.85,108044.75,8.4,2.7,8.4,5.6,36,0.25,43.3
2025-01-08,MIL005,Milton Shinjuku,Tokyo,Japan,680,391,214.64,123.42,83924.24,7.6,2.9,8.3,5.2,36,0.25,40.9
2025-01-08,MIL006,Milton Darling Harbour,Sydney,Australia,560,417,270.6,201.5,112840.2,9.2,1.5,10.2,6.4,31,0.23,43.1
2025-01-08,MIL007,Milton La Défense,Paris,France,480,404,362.18,304.83,146320.72,8.8,1.5,7.4,5.2,35,0.22,41.1
2025-01-08,MIL008,Milton Mitte,Berlin,Germany,390,313,281.55,225.96,88125.15,8.9,2.0,9.7,4.8,36,0.23,39.6
2025-01-08,MIL009,Milton Orchard Road,Singapore,Singapore,610,448,276.98,203.42,124087.04,9.2,2.9,8.9,6.6,33,0.24,39.1
2025-01-08,MIL010,Milton Union Square,San Francisco,USA,450,309,179.96,123.57,55607.64,9.6,2.3,10.3,5.0,33,0.26,41.5
2025-01-09,MIL001,Milton Times Square,New York,USA,650,514,292.66,231.43,150427.24,9.0,2.8,6.7,6.2,34,0.25,42.6
2025-01-09,MIL002,Milton Marina Bay,Singapore,Singapore,720,577,215.47,172.68,124326.19,8.6,3.5,9.8,4.9,37,0.29,40.7
2025-01-09,MIL003,Milton Downtown Chicago,Chicago,USA,420,256,328.83,200.43,84180.48,8.6,3.0,6.0,5.5,31,0.26,44.3
2025-01-09,MIL004,Milton Hyde Park,London,UK,510,376,201.95,148.89,75933.2,7.9,2.9,8.0,5.2,32,0.23,37.6
2025-01-09,MIL005,Milton Shinjuku,Tokyo,Japan,680,347,257.56,131.43,89373.32,8.6,2.5,8.8,4.5,34,0.23,44.6
2025-01-09,MIL006,Milton Darling Harbour,Sydney,Australia,560,475,247.9,210.27,117752.5,8.0,1.4,10.5,6.0,33,0.23,42.7
2025-01-09,MIL007,Milton La Défense,Paris,France,480,383,253.5,202.27,97090.5,8.4,1.3,8.1,6.2,28,0.28,40.1
2025-01-09,MIL008,Milton Mitte,Berlin,Germany,390,282,140.71,101.74,39680.22,9.4,2.1,8.5,5.0,29,0.29,44.5
2025-01-09,MIL009,Milton Orchard Road,Singapore,Singapore,610,389,225.0,143.48,87525.0,8.0,1.3,6.7,6.6,34,0.22,38.0
2025-01-09,MIL010,Milton Union Square,San Francisco,USA,450,427,292.48,277.53,124888.96,8.0,1.2,6.5,6.9,29,0.27,38.1
2025-01-10,MIL001,Milton Times Square,New York,USA,650,491,243.13,183.66,119376.83,9.1,3.1,7.8,6.5,30,0.24,44.1
2025-01-10,MIL002,Milton Marina Bay,Singapore,Singapore,720,593,274.68,226.23,162885.24,7.9,2.2,10.0,7.0,31,0.24,39.4
2025-01-10,MIL003,Milton Downtown Chicago,Chicago,USA,420,262,287.27,179.2,75264.74,7.9,2.5,8.0,5.4,37,0.28,37.3
2025-01-10,MIL004,Milton Hyde Park,London,UK,510,484,258.31,245.14,125022.04,9.4,3.3,9.6,5.8,28,0.24,40.9
2025-01-10,MIL005,Milton Shinjuku,Tokyo,Japan,680,438,293.45,189.02,128531.1,8.8,3.5,8.4,5.0,30,0.22,44.2
2025-01-10,MIL006,Milton Darling Harbour,Sydney,Australia,560,426,268.81,204.49,114513.06,8.1,1.8,8.5,6.5,36,0.24,36.1
2025-01-10,MIL007,Milton La Défense,Paris,France,480,386,304.22,244.64,117428.92,9.7,1.6,10.1,5.8,31,0.26,36.4
2025-01-10,MIL008,Milton Mitte,Berlin,Germany,390,343,283.29,249.15,97168.47,8.3,1.4,8.7,5.2,31,0.24,39.2
2025-01-10,MIL009,Milton Orchard Road,Singapore,Singapore,610,416,307.41,209.64,127882.56,8.1,2.7,10.2,6.7,30,0.22,38.4
2025-01-10,MIL010,Milton Union Square,San Francisco,USA,450,427,234.1,222.13,99960.7,8.8,2.3,8.7,5.5,35,0.23,36.7
2025-01-11,MIL001,Milton Times Square,New York,USA,650,504,339.69,263.39,171203.76,8.3,1.8,9.7,6.9,34,0.24,41.3
2025-01-11,MIL002,Milton Marina Bay,Singapore,Singapore,720,684,227.28,215.92,155459.52,8.6,3.3,6.6,7.4,32,0.23,40.9
2025-01-11,MIL003,Milton Downtown Chicago,Chicago,USA,420,343,287.48,234.78,98605.64,9.0,2.8,9.8,5.2,32,0.24,44.9
2025-01-11,MIL004,Milton Hyde Park,London,UK,510,452,279.33,247.56,126257.16,8.8,1.6,8.6,7.2,28,0.28,38.7
2025-01-11,MIL005,Milton Shinjuku,Tokyo,Japan,680,527,290.67,225.27,153183.09,8.7,1.9,9.7,4.6,33,0.24,37.1
2025-01-11,MIL006,Milton Darling Harbour,Sydney,Australia,560,438,270.0,211.18,118260.0,8.4,2.0,9.3,4.7,31,0.26,43.1
2025-01-11,MIL007,Milton La Défense,Paris,France,480,423,193.15,170.21,81702.45,8.9,1.7,6.1,7.1,28,0.29,40.8
2025-01-11,MIL008,Milton Mitte,Berlin,Germany,390,338,236.72,205.16,80011.36,9.5,2.3,8.8,7.1,37,0.28,39.8
2025-01-11,MIL009,Milton Orchard Road,Singapore,Singapore,610,572,236.47,221.74,135260.84,8.4,2.0,7.3,5.4,30,0.22,36.2
2025-01-11,MIL010,Milton Union Square,San Francisco,USA,450,338,258.44,194.12,87352.72,8.8,2.1,9.1,5.2,37,0.28,36.8
2025-01-12,MIL001,Milton Times Square,New York,USA,650,570,250.37,219.56,142710.9,8.7,2.6,6.8,7.5,30,0.3,41.8
2025-01-12,MIL002,Milton Marina Bay,Singapore,Singapore,720,610,273.01,231.3,166536.1,10.2,1.7,6.8,5.2,29,0.28,39.2
2025-01-12,MIL003,Milton Downtown Chicago,Chicago,USA,420,387,234.32,215.91,90681.84,8.2,3.1,7.0,5.2,33,0.27,41.2
2025-01-12,MIL004,Milton Hyde Park,London,UK,510,421,232.42,191.86,97848.82,8.5,3.2,10.3,7.1,36,0.27,41.0
2025-01-12,MIL005,Milton Shinjuku,Tokyo,Japan,680,518,224.08,170.7,116073.44,7.9,2.9,8.2,4.7,30,0.27,36.7
2025-01-12,MIL006,Milton Darling Harbour,Sydney,Australia,560,395,259.26,182.87,102407.7,9.4,2.3,8.7,7.0,31,0.27,41.1
2025-01-12,MIL007,Milton La Défense,Paris,France,480,402,243.83,204.21,98019.66,9.1,3.2,9.9,6.6,36,0.28,42.1
2025-01-12,MIL008,Milton Mitte,Berlin,Germany,390,347,322.2,286.68,111803.4,9.1,1.6,10.0,7.1,28,0.29,37.2
2025-01-12,MIL009,Milton Orchard Road,Singapore,Singapore,610,549,223.24,200.92,122558.76,8.9,3.1,8.3,4.5,30,0.27,44.8
2025-01-12,MIL010,Milton Union Square,San Francisco,USA,450,333,198.81,147.12,66203.73,9.1,2.7,8.4,6.8,29,0.28,40.9
2025-01-13,MIL001,Milton Times Square,New York,USA,650,500,272.56,209.66,136280.0,9.1,1.4,10.2,6.6,28,0.24,42.4
2025-01-13,MIL002,Milton Marina Bay,Singapore,Singapore,720,575,265.98,212.41,152938.5,8.3,2.0,8.8,4.6,36,0.3,44.7
2025-01-13,MIL003,Milton Downtown Chicago,Chicago,USA,420,304,276.97,200.47,84198.88,9.6,2.8,8.0,5.3,37,0.25,40.1
2025-01-13,MIL004,Milton Hyde Park,London,UK,510,394,279.8,216.16,110241.2,8.4,2.8,7.0,4.7,34,0.27,38.5
2025-01-13,MIL005,Milton Shinjuku,Tokyo,Japan,680,574,255.54,215.71,146679.96,9.8,2.1,7.2,7.5,32,0.29,38.1
2025-01-13,MIL006,Milton Darling Harbour,Sydney,Australia,560,376,203.68,136.76,76583.68,9.6,3.2,8.1,7.4,29,0.29,43.0
2025-01-13,MIL007,Milton La Défense,Paris,France,480,401,280.15,234.04,112340.15,9.1,1.5,6.1,7.3,34,0.28,40.3
2025-01-13,MIL008,Milton Mitte,Berlin,Germany,390,356,229.56,209.55,81723.36,9.8,1.7,8.2,4.7,33,0.24,43.2
2025-01-13,MIL009,Milton Orchard Road,Singapore,Singapore,610,448,174.97,128.5,78386.56,8.4,2.6,7.3,6.6,36,0.28,36.4
2025-01-13,MIL010,Milton Union Square,San Francisco,USA,450,241,216.49,115.94,52174.09,8.7,1.8,10.4,4.9,32,0.27,42.3
2025-01-14,MIL001,Milton Times Square,New York,USA,650,492,261.21,197.72,128515.32,8.8,1.4,7.6,4.6,28,0.25,37.2
2025-01-14,MIL002,Milton Marina Bay,Singapore,Singapore,720,414,340.9,196.02,141132.6,9.1,3.0,6.9,5.0,29,0.27,42.4
2025-01-14,MIL003,Milton Downtown Chicago,Chicago,USA,420,330,230.89,181.41,76193.7,9.1,2.8,9.6,5.5,36,0.23,44.1
2025-01-14,MIL004,Milton Hyde Park,London,UK,510,417,319.28,261.06,133139.76,8.8,2.2,8.9,6.1,35,0.23,36.5
2025-01-14,MIL005,Milton Shinjuku,Tokyo,Japan,680,486,238.23,170.26,115779.78,8.5,3.4,7.5,5.0,35,0.27,40.5
2025-01-14,MIL006,Milton Darling Harbour,Sydney,Australia,560,460,337.74,277.43,155360.4,9.0,1.7,10.5,7.4,34,0.24,42.1
2025-01-14,MIL007,Milton La Défense,Paris,France,480,362,184.91,139.45,66937.42,8.9,2.9,7.9,5.5,31,0.3,36.4
2025-01-14,MIL008,Milton Mitte,Berlin,Germany,390,329,270.1,227.85,88862.9,9.3,2.2,9.3,6.0,36,0.29,39.8
2025-01-14,MIL009,Milton Orchard Road,Singapore,Singapore,610,515,189.06,159.62,97365.9,9.6,2.9,6.6,6.6,37,0.23,38.1
2025-01-14,MIL010,Milton Union Square,San Francisco,USA,450,413,258.85,237.57,106905.05,9.4,1.8,9.9,5.8,33,0.25,41.3
2025-01-15,MIL001,Milton Times Square,New York,USA,650,483,209.61,155.76,101241.63,7.9,3.0,6.6,7.4,32,0.24,36.7
2025-01-15,MIL002,Milton Marina Bay,Singapore,Singapore,720,645,263.46,236.02,169931.7,7.9,2.0,9.7,5.8,30,0.27,42.4
2025-01-15,MIL003,Milton Downtown Chicago,Chicago,USA,420,312,244.28,181.47,76215.36,8.5,3.1,9.6,6.3,36,0.24,37.0
2025-01-15,MIL004,Milton Hyde Park,London,UK,510,484,256.78,243.69,124281.52,8.7,2.4,10.2,4.6,29,0.26,44.4
2025-01-15,MIL005,Milton Shinjuku,Tokyo,Japan,680,535,170.08,133.81,90992.8,9.2,2.2,8.3,6.0,34,0.23,36.3
2025-01-15,MIL006,Milton Darling Harbour,Sydney,Australia,560,456,309.87,252.32,141300.72,8.1,1.7,9.0,7.4,28,0.27,40.0
2025-01-15,MIL007,Milton La Défense,Paris,France,480,365,269.78,205.15,98469.7,9.2,3.4,9.1,6.0,34,0.29,41.1
2025-01-15,MIL008,Milton Mitte,Berlin,Germany,390,323,309.75,256.54,100049.25,9.4,1.7,9.0,5.7,34,0.23,41.9
2025-01-15,MIL009,Milton Orchard Road,Singapore,Singapore,610,471,274.79,212.17,129426.09,8.9,2.5,9.3,7.1,32,0.25,42.0
2025-01-15,MIL010,Milton Union Square,San Francisco,USA,450,369,286.88,235.24,105858.72,9.1,3.0,8.0,7.0,29,0.26,36.1
2025-01-16,MIL001,Milton Times Square,New York,USA,650,435,195.2,130.63,84912.0,9.7,2.1,8.0,5.2,31,0.24,36.7
2025-01-16,MIL002,Milton Marina Bay,Singapore,Singapore,720,500,333.89,231.87,166945.0,9.3,2.6,8.1,5.6,36,0.26,40.3
2025-01-16,MIL003,Milton Downtown Chicago,Chicago,USA,420,269,185.96,119.1,50023.24,9.3,2.6,9.4,6.9,35,0.3,36.2
2025-01-16,MIL004,Milton Hyde Park,London,UK,510,484,294.15,279.15,142368.6,8.9,1.8,10.2,4.7,37,0.25,36.9
2025-01-16,MIL005,Milton Shinjuku,Tokyo,Japan,680,415,255.57,155.97,106061.55,8.1,3.0,8.4,5.4,34,0.28,38.5
2025-01-16,MIL006,Milton Darling Harbour,Sydney,Australia,560,374,215.79,144.12,80705.46,8.6,1.6,9.1,5.0,33,0.28,37.0
2025-01-16,MIL007,Milton La Défense,Paris,France,480,297,279.82,173.14,83106.54,8.7,3.1,8.5,4.6,34,0.3,41.4
2025-01-16,MIL008,Milton Mitte,Berlin,Germany,390,325,262.2,218.5,85215.0,8.7,1.7,7.0,6.3,32,0.29,44.1
2025-01-16,MIL009,Milton Orchard Road,Singapore,Singapore,610,399,228.82,149.67,91299.18,8.3,3.1,7.9,6.5,28,0.27,40.1
2025-01-16,MIL010,Milton Union Square,San Francisco,USA,450,391,206.56,179.48,80764.96,8.9,2.9,9.9,5.2,28,0.22,41.8
2025-01-17,MIL001,Milton Times Square,New York,USA,650,569,359.47,314.67,204538.43,8.4,2.6,8.2,7.5,29,0.28,39.6
2025-01-17,MIL002,Milton Marina Bay,Singapore,Singapore,720,462,335.5,215.28,155001.0,8.4,2.8,10.5,4.9,29,0.28,41.2
2025-01-17,MIL003,Milton Downtown Chicago,Chicago,USA,420,311,250.84,185.74,78011.24,8.4,1.7,7.6,4.7,33,0.23,43.2
2025-01-17,MIL004,Milton Hyde Park,London,UK,510,346,270.52,183.53,93599.92,7.8,3.2,8.9,6.1,31,0.25,42.0
2025-01-17,MIL005,Milton Shinjuku,Tokyo,Japan,680,644,278.86,264.1,179585.84,8.3,2.5,10.3,5.0,34,0.24,40.8
2025-01-17,MIL006,Milton Darling Harbour,Sydney,Australia,560,433,254.99,197.16,110410.67,8.2,2.9,7.6,6.5,35,0.29,38.1
2025-01-17,MIL007,Milton La Défense,Paris,France,480,321,245.76,164.35,78888.96,9.4,2.4,8.8,4.8,35,0.23,43.4
2025-01-17,MIL008,Milton Mitte,Berlin,Germany,390,309,291.86,231.24,90184.74,9.3,1.3,7.4,5.3,31,0.23,44.4
2025-01-17,MIL009,Milton Orchard Road,Singapore,Singapore,610,363,282.86,168.32,102678.18,8.0,2.6,8.3,7.3,32,0.3,43.7
2025-01-17,MIL010,Milton Union Square,San Francisco,USA,450,254,263.68,148.83,66974.72,8.6,2.1,10.0,7.1,36,0.28,38.7
2025-01-18,MIL001,Milton Times Square,New York,USA,650,495,225.99,172.1,111865.05,9.0,2.0,10.4,6.4,36,0.23,43.8
2025-01-18,MIL002,Milton Marina Bay,Singapore,Singapore,720,496,258.87,178.33,128399.52,9.2,2.6,9.4,5.0,33,0.25,37.3
2025-01-18,MIL003,Milton Downtown Chicago,Chicago,USA,420,302,251.59,180.91,75980.18,8.7,3.4,7.9,5.4,33,0.26,37.0
2025-01-18,MIL004,Milton Hyde Park,London,UK,510,424,205.56,170.9,87157.44,9.1,2.6,8.9,5.0,28,0.28,40.1
2025-01-18,MIL005,Milton Shinjuku,Tokyo,Japan,680,540,244.83,194.42,132208.2,8.3,2.8,6.3,6.0,37,0.29,41.5
2025-01-18,MIL006,Milton Darling Harbour,Sydney,Australia,560,419,302.73,226.51,126843.87,7.8,2.4,7.9,4.9,36,0.26,37.8
2025-01-18,MIL007,Milton La Défense,Paris,France,480,318,178.91,118.53,56893.38,9.0,3.0,6.0,5.7,32,0.22,38.3
2025-01-18,MIL008,Milton Mitte,Berlin,Germany,390,333,235.42,201.01,78394.86,8.9,2.4,7.0,4.5,30,0.3,43.2
2025-01-18,MIL009,Milton Orchard Road,Singapore,Singapore,610,474,286.07,222.29,135597.18,8.8,2.2,9.8,4.8,32,0.23,38.9
2025-01-18,MIL010,Milton Union Square,San Francisco,USA,450,307,252.22,172.07,77431.54,9.7,2.1,7.8,5.9,35,0.29,44.6
2025-01-19,MIL001,Milton Times Square,New York,USA,650,463,306.8,218.54,142048.4,8.3,1.8,9.8,4.6,37,0.26,41.7
2025-01-19,MIL002,Milton Marina Bay,Singapore,Singapore,720,684,293.39,278.72,200678.76,8.9,2.7,8.8,4.7,33,0.23,42.6
2025-01-19,MIL003,Milton Downtown Chicago,Chicago,USA,420,399,266.14,252.83,106189.86,8.5,1.4,6.1,7.4,35,0.25,38.7
2025-01-19,MIL004,Milton Hyde Park,London,UK,510,407,314.02,250.6,127806.14,8.3,2.7,6.8,5.0,28,0.27,42.9
2025-01-19,MIL005,Milton Shinjuku,Tokyo,Japan,680,598,225.94,198.69,135112.12,7.8,1.7,6.5,6.3,35,0.27,40.8
2025-01-19,MIL006,Milton Darling Harbour,Sydney,Australia,560,520,231.04,214.54,120140.8,9.3,3.5,8.7,6.2,35,0.28,41.9
2025-01-19,MIL007,Milton La Défense,Paris,France,480,356,222.24,164.83,79117.44,8.1,2.2,8.8,7.3,30,0.23,37.8
